EQ NB,algorithm,data_group,dataset,EQ NB,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,model_size,simplified_complexity,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,symbolic_solution,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
92,PhySO,Feynman,feynman_III_13_18,92,0.01,12.6*E_n*d**2*k/h,4958786,5,5,12.0,10.0,5,5,5,1.0,0.005165797711787626,0.044166479177318335,0.9999999829884904,0.999999983030083,1.0
93,PhySO,Feynman,feynman_III_14_14,93,0.01,I_0*(exp(Volt*q/(T*kb)) - 1),4790043,5,4,20.4,14.8,5,5,5,1.0,1.2711907784204979e-06,0.0007132134091596595,0.9999999744732506,0.9999999742359872,1.0
94,PhySO,Feynman,feynman_III_15_12,94,0.01,2*U*(1 - cos(d*k)),4975105,5,5,13.0,11.0,5,5,5,1.0,2.559084705556543e-06,0.0013433096371005195,0.9999999020527374,0.9999999019562156,1.0
95,PhySO,Feynman,feynman_III_15_14,95,0.01,0.013*h**2/(E_n*d**2),4804939,5,2,11.0,11.0,5,5,5,1.0,3.1605611725338453e-12,9.131059989422103e-07,0.9999999897123715,0.9999999897348085,1.0
96,PhySO,Feynman,feynman_III_15_27,96,0.01,6.28*alpha/(d*n),4972618,5,5,17.4,10.0,5,5,5,1.0,4.326012568920363e-07,0.00045087872642369966,0.9999999382693372,0.999999938055842,1.0
97,PhySO,Feynman,feynman_III_17_37,97,0.01,beta*(alpha*cos(theta) + 1),4988928,5,5,15.4,12.2,5,5,5,1.0,1.8595643687865157e-06,0.0011907500220769657,0.9999999254898273,0.9999999262848338,1.0
98,PhySO,Feynman,feynman_III_19_51,98,0.01,-0.125*m*q**4/(epsilon**2*h**2*n**2),4667127,5,3,18.4,15.0,5,5,5,1.0,6.78530334048774e-08,4.6528467910959896e-05,0.9999999868984273,0.9999999874754673,1.0
99,PhySO,Feynman,feynman_III_21_20,99,0.01,-A_vec*q*rho_c_0/m,4954425,5,5,8.0,8.0,5,5,5,1.0,3.011274852617908e-09,4.028977926100181e-05,0.9999999999708543,0.9999999999707719,1.0
100,PhySO,Feynman,feynman_test_1,100,0.01,0.062*Z_1**2*Z_2**2*alpha**2*c**2*hbar**2/(E_n**2*sin(theta/2)**4),4961267,5,5,25.0,25.0,0,0,0,0.0,2.6034972447199336,0.9373127285337187,0.9820789150477828,0.9823376295769967,0.2
101,PhySO,Feynman,feynman_test_2,101,0.01,k_G*m*(1.41*(E_n*L**2/(k_G**2*m) + 0.5)**0.5*cos(theta1 - theta2) + 1)/L**2,4955028,5,5,9.8,8.6,0,0,0,0.0,2.8762890872566245,1.3233909739479515,0.3044687900669222,0.30130478349703593,0.0
102,PhySO,Feynman,feynman_test_3,102,0.01,d*(1 - alpha**2)/(alpha*cos(theta1 - theta2) + 1),4957883,5,5,13.2,13.0,0,0,0,0.0,0.15091323370337717,0.26908004148201703,0.9544827663279976,0.9551548297923781,0.0
103,PhySO,Feynman,feynman_test_4,103,0.01,1.41*(E_n - 0.5*L**2/(m*r**2) - U)**0.5/m**0.5,4952847,5,5,21.2,21.0,0,0,0,0.0,0.18873728797127035,0.38531363629444787,0.23655857687775483,0.23765430363272178,0.0
104,PhySO,Feynman,feynman_test_5,104,0.01,6.28*d**1.5/(G**0.5*(m1 + m2)**0.5),4940073,5,4,18.2,13.6,4,4,5,1.0,1.4081556205918485e-06,0.0010265925171704534,0.9999998619609327,0.9999998612508251,0.8
105,PhySO,Feynman,feynman_test_6,105,0.01,1.41*(E_n*L**2*epsilon**2/(Z_1**2*Z_2**2*m*q**4) + 0.5)**0.5,4972499,5,5,9.6,3.0,0,0,0,0.0,inf,inf,0.0,0.0,0.0
106,PhySO,Feynman,feynman_test_7,106,0.01,2.89*(G*rho - 0.119*alpha*c**2/d**2)**0.5,4954474,5,5,16.4,16.4,0,0,0,0.0,0.0018464176481689156,0.027607955188123055,0.9987943746443805,0.9987925062756204,0.0
107,PhySO,Feynman,feynman_test_8,107,0.01,-E_n/(E_n*(cos(theta) - 1)/(c**2*m) - 1),4961226,5,5,22.0,22.8,0,1,0,0.2,0.0008533096314895123,0.022545523810128015,0.9958509184489044,0.9957978601242046,0.2
108,PhySO,Feynman,feynman_test_9,108,0.01,6.4*G**4*m1**2*m2**2*(-m1 - m2)/(c**5*r**5),4957540,5,5,19.2,18.8,0,0,0,0.0,9467666.77990441,1250.749232444938,0.7880905476139691,0.8037897434956417,0.0
110,PhySO,Feynman,feynman_test_11,110,0.01,8*I_0*sin(alpha/2)**2*sin(delta*n/2)**2/(alpha**2*(1 - cos(delta))),4960031,5,5,23.2,22.4,0,0,0,0.0,0.12050776036136424,0.26384220328248054,0.8868035024388705,0.8852214876742838,0.0
111,PhySO,Feynman,feynman_test_12,111,0.01,1.0*Volt*d*q/y**2 - 0.08*d*q**2*y/(epsilon*(d**2 - y**2)**2),4959515,5,5,15.0,12.4,0,0,0,0.0,0.00019702339034630349,0.008220068375626364,0.9999990177817241,0.9999990055572856,1.0
112,PhySO,Feynman,feynman_test_13,112,0.01,0.056*q/(epsilon*(0.5*d**2 - d*r*cos(alpha) + 0.5*r**2)**0.5),4952829,5,5,14.0,14.0,0,0,0,0.0,1.7268854155521098e-05,0.0023102708587536594,0.9288521444668782,0.9309524698026863,0.0
113,PhySO,Feynman,feynman_test_14,113,0.01,Ef*(d**3*(alpha - 1)/(r**2*(alpha + 2)) - r)*cos(theta),4952082,5,5,12.8,13.0,0,0,0,0.0,64.34345031723555,5.014919153119701,0.6233046325816117,0.6400917956745695,0.0
114,PhySO,Feynman,feynman_test_15,114,0.01,omega*(c**2 - v**2)**0.5/(c + v*cos(theta)),4967640,5,5,16.8,15.6,0,0,0,0.0,0.007149571931034142,0.04405174584910671,0.9956523625705345,0.9954895515450672,0.0
115,PhySO,Feynman,feynman_test_16,115,0.01,Volt*q + c**1.0*(c**2*m**2 + (A_vec*q - p)**2)**0.5,4963217,5,5,17.6,17.6,0,0,0,0.0,13.582909017880993,2.675016328599219,0.9834172453652704,0.9834716478755591,0.0
