epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,overall_best_prog_prefix
787,0.0753483893755606,0.7967849968977019,0.9370946186526385,0.8757548366180165,14.0,20.63,0.49317485989546206,227,99,(((cos(exp((((((Omega/x))**(0.5)))**(-1))))*((H0+H0)*H0)))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[9.61932081 4.95334761],[ 5.1745069  -0.01022454]
788,0.06503592634374229,0.797794990286371,0.9370946186526385,0.8970771484025197,15.0,20.686,0.5628022649615744,225,85,(((cos(((((1/((x)**(2)))-1)+Omega)/1)))**(0.5))/((H0)**(-1))),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[7.90704467 1.59123779],[ 5.1745069  -0.01022454]
789,0.0719668094690247,0.7955745698549382,0.9370946186526385,0.8380927728522561,10.0,20.254,0.4603743344073797,251,94,(((log((((((x)**(2)))**(2))*1))*((H0)**(2))))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[3.75053997 1.        ],[ 5.1745069  -0.01022454]
790,0.08672662117767627,0.7935150673326682,0.9370946186526385,0.8271548573974857,16.0,20.508,0.4407469386927844,252,114,(((1*((sin((((Omega)**(-1))+x))-1)*(Omega*(H0*H0)))))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[17.08259773  1.64500186],[ 5.1745069  -0.01022454]
791,0.0684599213236035,0.7937991688256655,0.9370946186526385,0.8579852888066151,17.0,20.445,0.4714687217903705,238,89,(((1)**(-1))*(((cos((((exp(((x)**(2))))**(-1))*Omega))/(((1*((H0)**(-1))))**(2))))**(0.5))),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[4.18997317 4.35762583],[ 5.1745069  -0.01022454]
792,0.07655930217424588,0.7948331133953775,0.9370946186526385,0.8276274177187007,13.0,20.409,0.4621520806239557,239,100,(H0/(((((sin((Omega/x)))**(-1)))**(2))-(cos(1)/Omega))),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[6.29119006 2.80107384],[ 5.1745069  -0.01022454]
793,0.06540769875822741,0.7945589300775905,0.9370946186526385,0.8536831501984171,10.0,20.591,0.44000502307745304,220,85,(((cos((exp(Omega)-log(((x)**(-1))))))**(0.5))*H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[7.22315017 0.44515018],[ 5.1745069  -0.01022454]
794,0.07599919871499447,0.7922601048230085,0.9370946186526385,0.8339835832725655,16.0,20.499,0.41417156376946995,237,100,((cos(((((Omega/Omega)/(x+x))*Omega)-1))/Omega)*H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[-41.89527809  -1.11984878],[ 5.1745069  -0.01022454]
795,0.0625146829057027,0.7969546823198163,0.9370946186526385,0.8787108725957362,11.0,20.609,0.49579516270236157,231,82,((((1+(cos((Omega+1))-x)))**(0.5))*H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[8.22056481 0.56067667],[ 5.1745069  -0.01022454]
796,0.06969360960315307,0.8011336124475438,0.9370946186526385,0.9161821670317403,17.0,20.451,0.5695704509657612,234,91,(((sin((((((Omega+log(((x)**(2))))/1))**(0.5))*Omega)))**(0.5))/(H0/((H0)**(2)))),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[ 2.83041245e+01 -2.06529954e-02],[ 5.1745069  -0.01022454]
797,0.08668862800158153,0.798677881420566,0.9370946186526385,0.8402790118924308,15.0,20.689,0.5172817455734352,221,114,(((cos(((exp(((Omega)**(-1)))-(H0*(Omega/H0)))*x)))**(0.5))*H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[    4.17715906 -1483.05370436],[ 5.1745069  -0.01022454]
798,0.08504888489105805,0.7945319877240727,0.9370946186526385,0.8608175461952883,16.0,20.401,0.4543927848607323,248,113,(((((((exp(((cos(log(Omega)))**(2)))+1)*x)-Omega))**(0.5))/Omega)*H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[11.61041673  2.48304868],[ 5.1745069  -0.01022454]
799,0.07219879828801204,0.7959811580632546,0.9370946186526385,0.890199914379855,11.0,20.456,0.4612654244608067,243,94,(sin(((log(((((x)**(0.5))+x)/Omega)))**(0.5)))*H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[11.64616953  2.01555719],[ 5.1745069  -0.01022454]
