i_eq,i_trial,noise,n_reals,# EVALUATIONS,STARTED,FINISHED,last_pareto_expression,symbolic_error,symbolic_fraction,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,sympy_exception,symbolic_solution,equivalent_expr,i_pareto,test_r2,accuracy_solution,test_r2_refit,accuracy_solution_refit,RUN COMMAND,RUN NAME,result_analysis_time
0,1,0.001,1,198658,True,True,-0.85*sin(1.14*t - 0.62),0,1,True,True,True,,True,-0.85*sin(1.14*t - 0.62),11,0.999999997626948,True,0.9999999999990906,True,python classbench_run.py -i 0 -t 1 -n 0.001000 -r 1,CR_0_1_1_0.001000,1.3871121406555176
0,1,0.001,10,199072,True,True,0.83*cos(1.12*t + 1.03),-0.15*cos(1.14*t + 0.3*pi),0.85,False,False,True,,True,-cos(1.14*t + 4.07),5,0.999024781652748,True,0.9999356513868792,True,python classbench_run.py -i 0 -t 1 -n 0.001000 -r 10,CR_0_1_10_0.001000,1.9356541633605957
0,1,0.01,1,198550,True,True,-0.85*cos(1.14*t - 2.19),0,1,True,True,True,,True,-0.85*cos(1.14*t - 2.19),9,0.9999947185219944,True,0.970348687245016,False,python classbench_run.py -i 0 -t 1 -n 0.010000 -r 1,CR_0_1_1_0.010000,2.2066650390625
0,1,0.01,10,199078,True,True,-0.86*sin(1.12*t - 0.54),-0.15*cos(1.14*t + 0.3*pi),0.85,False,False,True,,True,cos(1.14*t + 0.93),3,0.9990081128420936,True,0.9999160538236878,True,python classbench_run.py -i 0 -t 1 -n 0.010000 -r 10,CR_0_1_10_0.010000,1.0592129230499268
0,1,0.1,1,198376,True,True,0.85*sin(1.14*t + 2.53) + 0.01,0,1,True,True,True,,True,0.85*sin(1.14*t + 2.53) + 0.01,9,0.9995678055226822,True,0.9999942820229488,True,python classbench_run.py -i 0 -t 1 -n 0.100000 -r 1,CR_0_1_1_0.100000,2.348500967025757
0,1,0.1,10,199033,True,True,0.84*cos(1.13*t + 1.02),-0.05*cos(1.14*t + 0.3*pi),0.94,False,False,True,,True,-0.92*cos(1.14*t - 2.2),7,0.9985176790958028,False,0.9999999999993956,True,python classbench_run.py -i 0 -t 1 -n 0.100000 -r 10,CR_0_1_10_0.100000,1.6535310745239258
0,2,0.0,1,199712,True,True,0.86*cos(0.23*t + 1.06),0,1,True,True,True,,True,0.86*cos(0.23*t + 1.06),14,0.9999999999999925,True,0.9999999999932606,True,python classbench_run.py -i 0 -t 2 -n 0.000000 -r 1,CR_0_2_1_0.000000,1.9102070331573489
0,2,0.0,10,199108,True,True,0.84*cos(0.27*t + 0.92),0,1,True,True,True,,True,1.05*cos(1.24*t + 1.06),7,0.9977769688360334,False,0.9999999999988132,True,python classbench_run.py -i 0 -t 2 -n 0.000000 -r 10,CR_0_2_10_0.000000,1.8590600490570068
0,2,0.001,1,199746,True,True,-0.86*sin(0.23*t - 0.51),0,1,True,True,True,,True,-0.86*sin(0.23*t - 0.51),11,0.9999999794535328,True,0.9999999999996798,True,python classbench_run.py -i 0 -t 2 -n 0.001000 -r 1,CR_0_2_1_0.001000,2.2131052017211914
0,2,0.001,10,198973,True,True,0.85*cos(0.24*t + 1.04),0,1,True,True,True,,True,1.05*cos(1.24*t + 1.04),8,0.9994183352492244,True,0.9999999999985758,True,python classbench_run.py -i 0 -t 2 -n 0.001000 -r 10,CR_0_2_10_0.001000,4.0845489501953125
