EQ NB,algorithm,data_group,dataset,EQ NB,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,model_size,simplified_complexity,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,symbolic_solution,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
88,PhySO,Feynman,feynman_III_8_54,88,0.1,sin(6.28*E_n*t/h)**2,4964933,5,5,13.8,12.8,3,3,4,0.8,1.0811448731161313e-06,0.0007328900512841325,0.9999913463850304,0.9999914126439147,0.8
89,PhySO,Feynman,feynman_III_9_52,89,0.1,25.1*Ef*p_d*sin(t*(omega - omega_0)/2)**2/(h*t*(omega - omega_0)**2),4975558,5,5,16.2,16.4,0,0,0,0.0,123.34786273141458,8.334163953805787,0.40101217430627356,0.4046617097009969,0.0
90,PhySO,Feynman,feynman_III_10_19,90,0.1,mom*(Bx**2 + By**2 + Bz**2)**0.5,4956826,5,5,17.2,16.0,0,0,0,0.0,0.4606227788782503,0.5115249598112539,0.9913095411165175,0.9913155346328741,0.0
91,PhySO,Feynman,feynman_III_12_43,91,0.1,0.159*h*n,4967348,5,5,15.0,5.8,4,4,5,1.0,0.00011137210931642067,0.00919981575388556,0.9998280518408621,0.9998287343163029,0.6
92,PhySO,Feynman,feynman_III_13_18,92,0.1,12.6*E_n*d**2*k/h,4954847,5,5,10.8,10.8,0,0,5,1.0,0.5759667490816082,0.4929826818511359,0.999998108413363,0.9999981183071099,1.0
93,PhySO,Feynman,feynman_III_14_14,93,0.1,I_0*(exp(Volt*q/(T*kb)) - 1),4953319,5,5,18.6,14.0,5,5,5,1.0,1.4737691092293149e-05,0.003581710888434636,0.999999702163965,0.9999996915785312,1.0
94,PhySO,Feynman,feynman_III_15_12,94,0.1,2*U*(1 - cos(d*k)),4968659,5,5,13.6,11.0,3,3,5,1.0,0.0001254232946643413,0.009431676021528772,0.9999952363849458,0.9999952108534964,1.0
95,PhySO,Feynman,feynman_III_15_14,95,0.1,0.013*h**2/(E_n*d**2),4956965,5,5,11.0,11.0,5,5,5,1.0,6.993697618310341e-11,4.36540811826135e-06,0.999999767648484,0.9999997672394384,1.0
96,PhySO,Feynman,feynman_III_15_27,96,0.1,6.28*alpha/(d*n),4967607,5,5,13.4,12.0,0,0,5,1.0,3.815311962038879e-05,0.003969140210976094,0.9999945754888175,0.9999946130598484,1.0
97,PhySO,Feynman,feynman_III_17_37,97,0.1,beta*(alpha*cos(theta) + 1),4987002,5,5,14.8,11.6,2,5,2,1.0,0.0001526004690551264,0.009747367280030483,0.9999938442702949,0.9999938623694159,1.0
