m,x,y,z,vx,vy,vz,ra,dec,dis,vh,mu_r,mu_d,l,b,mu_l,mu_b,l_alt,phi1,phi2,mu_p1,mu_p2,sID
0.0,21.488364,32.080115,11.08487,-107.418144,-21.95901,39.622118,276.201991,18.98379,45.078834,-261.875657,-0.612327,-0.232826,47.238628,14.235008,-0.46352,0.462927,47.238628,-66.049561,13.414748,0.199902,0.623852,53
0.0,20.392592,31.827817,11.469627,-111.722566,-28.528106,37.30347,275.804268,20.049855,44.281384,-269.81713,-0.632253,-0.220738,48.086913,15.011737,-0.457718,0.488839,48.086913,-64.954645,13.039318,0.226002,0.63039,53
0.0,19.254199,31.50898,11.8304,-115.941491,-35.268909,34.823384,275.382186,21.13874,43.420038,-277.781112,-0.654564,-0.207777,48.956672,15.810945,-0.451475,0.517489,48.956672,-63.832797,12.657906,0.254547,0.637833,53
0.0,18.074071,31.121822,12.165514,-120.06838,-42.194323,32.16967,274.932231,22.254031,42.493985,-285.769951,-0.679616,-0.193786,49.851493,16.635848,-0.44465,0.549288,49.851493,-62.679609,12.269624,0.285945,0.646271,53
0.0,16.853169,30.66443,12.473166,-124.094672,-49.318244,29.328428,274.45022,23.399719,41.502368,-293.784377,-0.707843,-0.178581,50.775468,17.490104,-0.437063,0.584729,50.775468,-61.490094,11.873508,0.320688,0.655814,53
0.0,15.592552,30.134745,12.751403,-128.00935,-56.655592,26.283803,273.931124,24.58029,40.444286,-301.822967,-0.739777,-0.161944,51.733313,18.37791,-0.428489,0.624414,51.733313,-60.258551,11.468505,0.359378,0.666591,53
0.0,14.293403,29.530553,12.998102,-131.798394,-64.222319,23.017703,273.368842,25.80082,39.318802,-309.881406,-0.77608,-0.143616,52.730521,19.304126,-0.418639,0.66908,52.730521,-58.978395,11.053455,0.402751,0.678762,53
0.0,12.957064,28.849476,13.210948,-135.444085,-72.035365,19.509471,272.755888,27.067105,38.124957,-317.951463,-0.817579,-0.123289,53.773575,20.274431,-0.407136,0.719636,53.773575,-57.641944,10.627077,0.451726,0.692517,53
0.0,11.585076,28.088964,13.387405,-138.924102,-80.112543,15.735512,272.082972,28.38581,36.861791,-326.01955,-0.865322,-0.100592,54.870216,21.295518,-0.39349,0.777218,54.870216,-56.240138,10.187949,0.507453,0.708091,53
0.0,10.179231,27.246282,13.524682,-142.21038,-88.472293,11.668871,271.338411,29.764662,35.528366,-334.064689,-0.920654,-0.075087,56.029811,22.375362,-0.377045,0.843255,56.029811,-54.762168,9.734483,0.571395,0.725775,53
0.0,8.741634,26.318512,13.619703,-145.267624,-97.133255,7.278778,270.5073,31.21268,34.12381,-342.055614,-0.985321,-0.04625,57.263864,23.523557,-0.356913,0.919571,57.263864,-53.194991,9.264906,0.645431,0.745933,53
