#name zcmb zhel dz mb dmb
6699 0.3088 0.3088 0.0 21.83605 0.15525 
6780 0.20244 0.20244 0.0 20.60265 0.13765 
6933 0.21139 0.21139 0.0 20.6247 0.1276 
6936 0.1787 0.1787 0.0 20.4025 0.1152 
7143 0.30317 0.30317 0.0 21.872 0.13765 
7473 0.21432 0.21432 0.0 20.8217 0.1308 
7475 0.32007 0.32007 0.0 21.6956 0.1358 
7512 0.21791 0.21791 0.0 20.9318 0.14225 
7876 0.07523 0.07523 0.0 18.2988 0.10185 
8046 0.2574 0.2574 0.0 21.37115 0.15 
8213 0.18446 0.18446 0.0 20.3647 0.13065 
8719 0.11639 0.11639 0.0 19.29475 0.10185 
10028 0.06481 0.06481 0.0 17.87655 0.1109 
10434 0.10298 0.10298 0.0 19.16045 0.103 
10805 0.04437 0.04437 0.0 16.92415 0.11995 
12843 0.16576 0.16576 0.0 19.9345 0.12155 
12853 0.16799 0.16799 0.0 20.0523 0.1219 
12855 0.17043 0.17043 0.0 20.12375 0.14255 
12860 0.12029 0.12029 0.0 19.52005 0.11295 
12928 0.13855 0.13855 0.0 19.76995 0.1308 
12971 0.23353 0.23353 0.0 20.92065 0.1527 
12977 0.24615 0.24615 0.0 21.0223 0.14645 
13025 0.22259 0.22259 0.0 21.0804 0.1546 
13045 0.17893 0.17893 0.0 20.2809 0.1225 
13070 0.19694 0.19694 0.0 20.5818 0.1167 
13072 0.22889 0.22889 0.0 20.99445 0.14355 
13099 0.26419 0.26419 0.0 21.45355 0.1665 
13135 0.1034 0.1034 0.0 19.10195 0.1007 
